funding_total_usd,country_code,city,funding_rounds
4502251.0,AS,Beijing,1.0
9000000.0,AS,Taiwan,1.0
63590263.0,AS,Beijing,1.0
19790000.0,AS,Beijing,3.0
1000000.0,AS,Gurgaon,1.0
10450000.0,NorthAm,Mountain View,3.0
2160000.0,AS,Singapore,2.0
1380700.0,EU,Milan,1.0
83574271.0,AS,Shanghai,5.0
500000.0,NorthAm,Lawrence,2.0
45000000.0,NorthAm,Oakland,2.0
105651.0,AS,Sydney,2.0
100000.0,NorthAm,Mountain View,1.0
75000000.0,AS,Shanghai,1.0
442943.0,SouthAm,São Paulo,1.0
20000.0,AS,Vadodara,1.0
7575757.0,AS,Shanghai,1.0
25000000.0,SouthAm,São Paulo,3.0
210000.0,AS,Bangalore,3.0
80000.0,AS,Beijing,2.0
9600000.0,AS,Shanghai,2.0
70000.0,EU,Yekaterinburg,1.0
1432051.0,AS,Seoul,3.0
2800000.0,AS,Hong Kong,2.0
7200000.0,NorthAm,Sterling,3.0
900000.0,NorthAm,Seattle,1.0
925000.0,NorthAm,Redmond,2.0
435400.0,NorthAm,Austin,1.0
100000000.0,AS,Shanghai,1.0
3500000.0,NorthAm,New York,1.0
2500000.0,NorthAm,Houston,1.0
110000000.0,NorthAm,New Berlin,1.0
10312103.0,NorthAm,San Mateo,2.0
45000.0,NorthAm,Pompano Beach,1.0
560248.0,EU,Barcelona,1.0
50000.0,NorthAm,Providence,1.0
1090000.0,NorthAm,Missoula,1.0
500000.0,NorthAm,Atlanta,1.0
2100002.0,NorthAm,Columbia,2.0
115837966.0,EU,Bristol,1.0
1500000.0,NorthAm,Copiague,1.0
5000000.0,AS,Beijing,1.0
14300000.0,NorthAm,San Ramon,3.0
3000000.0,NorthAm,San Diego,1.0
9300000.0,NorthAm,Pasadena,1.0
50000.0,NorthAm,North Andover,1.0
6410000.0,AS,Mumbai,1.0
32142818.0,NorthAm,Redwood City,2.0
15999994.0,NorthAm,Seattle,1.0
10200000.0,AS,Shenyang,1.0
2500.0,SouthAm,São Paulo,1.0
250000.0,NorthAm,Minnetonka,1.0
20000.0,NorthAm,San Francisco,2.0
67000000.0,NorthAm,Boise,1.0
118000000.0,NorthAm,San Jose,4.0
502860000.0,NorthAm,Westborough,8.0
500000.0,EU,Saint Petersburg,1.0
25000000.0,NorthAm,Edison,1.0
50000000.0,AS,Shenzhen,2.0
16474.0,AS,Beijing,1.0
20000000.0,NorthAm,Wilmington,1.0
160000.0,NorthAm,Chicago,1.0
350000.0,NorthAm,Hollywood,1.0
500000.0,NorthAm,Indianapolis,1.0
6000000.0,NorthAm,San Francisco,2.0
14000000.0,NorthAm,San Jose,3.0
3100000.0,AS,Mumbai,2.0
20000000.0,NorthAm,Naperville,1.0
40000000.0,NorthAm,Ann Arbor,1.0
180000000.0,NorthAm,Staten Island,1.0
442457.0,SouthAm,Sorocaba,3.0
